User Query,Google Result,Negative,Neutral,Positive,Compound
when was the last time capulin erupted,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around\xa0...', 'Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.', 'Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with\xa0...', ""At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of\xa0...""]",0.0,1.0,0.0,0.0
when was the last time capulin erupted,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around\xa0...', 'Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.', 'Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with\xa0...', ""At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of\xa0...""]",0.0,1.0,0.0,0.0
when was the last time capulin erupted,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around\xa0...', 'Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.', 'Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with\xa0...', ""At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of\xa0...""]",0.0,1.0,0.0,0.0
when was the last time capulin erupted,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around\xa0...', 'Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.', 'Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with\xa0...', ""At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of\xa0...""]",0.0,1.0,0.0,0.0
when was the last time capulin erupted,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... After this dormant period, the most recent phase of eruptions in the volcanic field, know as the Capulin phase, began and lasted from around\xa0...', 'Capulin is a classic cinder cone volcano. The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions.', 'Apr 20, 2020 ... Volcanic fields are regions of volcanic activity that tap one magma source. Eruptions in the RCVF began approximately 9 million years ago, with\xa0...', ""At any one time during the field's active lifetime, this means that it ... Recent research suggests that the alignment is due to preferred eruption of\xa0...""]",0.0,0.906,0.094,0.4019
What year did the Capulin Volcano in New Mexico Last errupt,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano\xa0...', 'Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.', 'Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.', 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic\xa0...']",0.0,1.0,0.0,0.0
What year did the Capulin Volcano in New Mexico Last errupt,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano\xa0...', 'Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.', 'Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.', 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic\xa0...']",0.0,1.0,0.0,0.0
What year did the Capulin Volcano in New Mexico Last errupt,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano\xa0...', 'Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.', 'Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.', 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic\xa0...']",0.0,1.0,0.0,0.0
What year did the Capulin Volcano in New Mexico Last errupt,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano\xa0...', 'Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.', 'Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.', 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic\xa0...']",0.0,1.0,0.0,0.0
What year did the Capulin Volcano in New Mexico Last errupt,"['Aug 23, 2016 ... Capulin last erupted roughly 56,000 to 62,000 years ago. The volcano sits near the center of the Raton-Clayton field, a cluster of smaller\xa0...', 'Mar 10, 2022 ... Capulin Volcano is a cinder cone volcano that erupted into existence around 60,000 years ago. After its eruption ended, Capulin Volcano\xa0...', 'Capulin was once believed to be as young as 11,000 years old; however, recent ... in size and morphology to Paricutin volcano, Mexico which erupted in 1943.', 'Apr 20, 2020 ... Capulin Volcano blanketed 15.7 square miles with its lava flows, but it was not the only volcano to transform the New Mexico landscape.', 'The eruption of Capulin, approximately 60,000 years ago, was one of the most recent eruptions. Overall, the RCVF is considered dormant and individual volcanic\xa0...']",0.0,1.0,0.0,0.0
